x_n;y_n
0;1
0.002002;1
0.004004;1
0.00600601;1
0.00800801;1
0.01001;1
0.012012;1
0.014014;1
0.016016;1
0.018018;1
0.02002;1
0.022022;1
0.024024;1
0.026026;1
0.028028;1
0.03003;1
0.032032;1
0.034034;1
0.036036;1
0.038038;1
0.04004;1
0.042042;1
0.044044;1
0.046046;1
0.048048;1
0.0500501;1
0.0520521;1
0.0540541;1
0.0560561;1
0.0580581;1
0.0600601;1
0.0620621;1
0.0640641;1
0.0660661;1
0.0680681;1
0.0700701;1
0.0720721;1
0.0740741;1
0.0760761;1
0.0780781;1
0.0800801;1
0.0820821;1
0.0840841;1
0.0860861;1
0.0880881;1
0.0900901;1
0.0920921;1
0.0940941;1
0.0960961;1
0.0980981;1
0.1001;1
0.102102;1
0.104104;1
0.106106;1
0.108108;1
0.11011;1
0.112112;1
0.114114;1
0.116116;1
0.118118;1
0.12012;1
0.122122;1
0.124124;1
0.126126;1
0.128128;1
0.13013;1
0.132132;1
0.134134;1
0.136136;1
0.138138;1
0.14014;1
0.142142;1
0.144144;1
0.146146;1
0.148148;1
0.15015;1
0.152152;1
0.154154;1
0.156156;1
0.158158;1
0.16016;1
0.162162;1
0.164164;1
0.166166;1
0.168168;1
0.17017;1
0.172172;1
0.174174;1
0.176176;1
0.178178;1
0.18018;1
0.182182;1
0.184184;1
0.186186;1
0.188188;1
0.19019;1
0.192192;1
0.194194;1
0.196196;1
0.198198;1
0.2002;1
0.202202;1
0.204204;1
0.206206;1
0.208208;1
0.21021;1
0.212212;1
0.214214;1
0.216216;1
0.218218;1
0.22022;1
0.222222;1
0.224224;1
0.226226;1
0.228228;1
0.23023;1
0.232232;1
0.234234;1
0.236236;1
0.238238;1
0.24024;1
0.242242;1
0.244244;1
0.246246;1
0.248248;1
0.25025;1
0.252252;1
0.254254;1
0.256256;1
0.258258;1
0.26026;1
0.262262;1
0.264264;1
0.266266;1
0.268268;1
0.27027;1
0.272272;1
0.274274;1
0.276276;1
0.278278;1
0.28028;1
0.282282;1
0.284284;1
0.286286;1
0.288288;1
0.29029;1
0.292292;1
0.294294;1
0.296296;1
0.298298;1
0.3003;1
0.302302;1
0.304304;1
0.306306;1
0.308308;1
0.31031;1
0.312312;1
0.314314;1
0.316316;1
0.318318;1
0.32032;1
0.322322;1
0.324324;1
0.326326;1
0.328328;1
0.33033;1
0.332332;1
0.334334;1
0.336336;1
0.338338;1
0.34034;1
0.342342;1
0.344344;1
0.346346;1
0.348348;1
0.35035;1
0.352352;1
0.354354;1
0.356356;1
0.358358;1
0.36036;1
0.362362;1
0.364364;1
0.366366;1
0.368368;1
0.37037;1
0.372372;1
0.374374;1
0.376376;1
0.378378;1
0.38038;1
0.382382;1
0.384384;1
0.386386;1
0.388388;1
0.39039;1
0.392392;1
0.394394;1
0.396396;1
0.398398;1
0.4004;1
0.402402;1
0.404404;1
0.406406;1
0.408408;1
